WBID,PLANNING_UNIT,GROUP_NAME,WATERBODY_NAME,WATERBODY_SIZE,UNITS,WATER_TYPE,CLASS,PERIMETER
2740W,Marshall Swamp,Ocklawaha,SUNRISE LAKE,0.07188,sq. miles,LAKE,3F,3485.01836962
2821A,Lake Harris,Ocklawaha,LOCH LEVEN,0.26358,sq. miles,LAKE,3F,3071.93300439
2821B,Lake Harris,Ocklawaha,LAKE JOANNA,0.48757,sq. miles,LAKE,3F,6250.64668105
2775A,Rodman Reservoir,Ocklawaha,JOES LAKE,0.07891,sq. miles,LAKE,3F,1633.91235482
2775B,Rodman Reservoir,Ocklawaha,CLEAR LAKE,0.06085,sq. miles,LAKE,3F,2677.45662189
3033C,Econlockhatchee River,Middle St. Johns,LAKE CORNER,0.17661,sq. miles,LAKE,3F,2735.8273865
2879A,Palatlakaha River,Ocklawaha,FLAT LAKE,0.23292,sq. miles,LAKE,3F,5087.11103873
2879A1,Palatlakaha River,Ocklawaha,FLAT LAKE,0.04309,sq. miles,LAKE,3F,1871.68125799
2879A2,Palatlakaha River,Ocklawaha,FLAT LAKE,0.06065,sq. miles,LAKE,3F,2939.75660459
2845A,Palatlakaha River,Ocklawaha,CLEARWATER LAKE,0.52098,sq. miles,LAKE,3F,12098.8841644
3033D,Econlockhatchee River,Middle St. Johns,LAKE DRAWDY,0.08142,sq. miles,LAKE,3F,2171.18261725
3036,Econlockhatchee River,Middle St. Johns,LAKE FREDERICA,0.10642,sq. miles,LAKE,3F,1927.34807167
2880A,Palatlakaha River,Ocklawaha,LAKE GLONA,0.2199,sq. miles,LAKE,3F,3523.19444116
2881A,Palatlakaha River,Ocklawaha,LAKE NELLIE,0.85657,sq. miles,LAKE,3F,9624.95453374
2882A,Palatlakaha River,Ocklawaha,PRETTY LAKE,0.38981,sq. miles,LAKE,3F,7507.81828108
2783,Lake Griffin,Ocklawaha,DINNERS POND,0.01412,sq. miles,LAKE,3F,979.35770583
2783A,Lake Griffin,Ocklawaha,DOE LAKE,0.11148,sq. miles,LAKE,3F,2051.85235273
2699A,Orange Creek,Ocklawaha,LAKE ELIZABETH,0.09894,sq. miles,LAKE,3F,2380.37564271
2783B,Lake Griffin,Ocklawaha,TROUT LAKE,0.07221,sq. miles,LAKE,3F,2034.91232402
2783C,Lake Griffin,Ocklawaha,SWIM POND,0.08987,sq. miles,LAKE,3F,3742.93890903
2783D,Lake Griffin,Ocklawaha,GRASSY PRAIRIE,0.17323,sq. miles,LAKE,3F,4967.01504643
2864A,Palatlakaha River,Ocklawaha,CLEAR LAKE,0.03222,sq. miles,LAKE,3F,1063.35158865
2865A,Lake Apopka,Ocklawaha,LAKE FLORENCE,0.20537,sq. miles,LAKE,3F,2956.39741967
2700,Orange Creek,Ocklawaha,HAMMOCKS LAKE,0.01318,sq. miles,LAKE,3F,1051.64776616
2718B,Orange Creek,Ocklawaha,BIVANS ARM,0.24418,sq. miles,LAKE,3F,4689.36005932
2719A,Orange Creek,Ocklawaha,LAKE ALICE,0.03604,sq. miles,LAKE,3F,2205.69695349
2713F,Orange Creek,Ocklawaha,LAKE WINNOTT,0.24931,sq. miles,LAKE,3F,4730.71438918
2713G,Orange Creek,Ocklawaha,JOHNSON LAKE,0.06862,sq. miles,LAKE,3F,2035.77798642
2714A,Orange Creek,Ocklawaha,MORRIS LAKE,0.095,sq. miles,LAKE,3F,2111.25057206
2714C,Orange Creek,Ocklawaha,GALILEE LAKE,0.1138,sq. miles,LAKE,3F,2706.87004938
2783F,Lake Griffin,Ocklawaha,LAKE CATHERINE,0.22456,sq. miles,LAKE,3F,5242.71758036
2783G,Lake Griffin,Ocklawaha,LAKE MARY,0.25782,sq. miles,LAKE,3F,5282.39001324
2868A,Lake Apopka,Ocklawaha,MIRROR LAKE,0.0635,sq. miles,LAKE,3F,2127.96162697
2720A,Orange Creek,Ocklawaha,ALACHUA SINK,0.03343,sq. miles,LAKE,3F,2969.911261
2720B,Orange Creek,Ocklawaha,CALF POND,0.01786,sq. miles,LAKE,3F,872.5723224100000
2809,Lake Griffin,Ocklawaha,SOUTHWEST EMERALDA MARSH CONSERVATION AREA,1.07661,sq. miles,LAKE,3F,17745.6246116
2714X,Orange Creek,Ocklawaha,EAST LAKE,0.02902,sq. miles,LAKE,3F,1157.33643355
2807A,Lake Griffin,Ocklawaha,LAKE YALE,6.31471,sq. miles,LAKE,3F,20752.76781541
2808A,Lake Harris,Ocklawaha,CLEAR LAKE,0.07934,sq. miles,LAKE,3F,1744.00798986
2808B,Lake Harris,Ocklawaha,BLANCHESTER LAKE,0.18645,sq. miles,LAKE,3F,2852.8139205
2808X,Lake Harris,Ocklawaha,PEANUT LAKE,0.02067,sq. miles,LAKE,3F,789.37833247
2868B,Lake Apopka,Ocklawaha,LAKE FELTER,0.18052,sq. miles,LAKE,3F,3331.02930787
2884A,Palatlakaha River,Ocklawaha,BEAR LAKE,0.08727,sq. miles,LAKE,3F,1995.15784826
2811,Lake Griffin,Ocklawaha,WEST EMERALDA MARSH CONSERVATION AREA,0.36127,sq. miles,LAKE,3F,6081.13442071
2741B,Orange Creek,Ocklawaha,WAUBERG LAKE,0.37011,sq. miles,LAKE,3F,4025.68420095
2825A,Lake Griffin,Ocklawaha,SILVER LAKE,0.60105,sq. miles,LAKE,3F,5631.96470561
2885A,Palatlakaha River,Ocklawaha,KIRKLAND LAKE,0.39655,sq. miles,LAKE,3F,5843.67785831
2887A,Palatlakaha River,Ocklawaha,HAMMOND LAKE,0.10606,sq. miles,LAKE,3F,2046.21998888
2887B,Palatlakaha River,Ocklawaha,DIXIE LAKE,0.29492,sq. miles,LAKE,3F,3470.41427629
2742A,Orange Creek,Ocklawaha,STAR LAKE,0.36959,sq. miles,LAKE,3F,5204.48909077
2742X,Orange Creek,Ocklawaha,RILEY LAKE,0.06645,sq. miles,LAKE,3F,1555.1710654
2862E,Palatlakaha River,Ocklawaha,JACKS LAKE,0.07225,sq. miles,LAKE,3F,1700.07014712
2823A,Lake Harris,Ocklawaha,LAKE GERTRUDE,0.38756,sq. miles,LAKE,3F,5526.62086179
2823X,Lake Harris,Ocklawaha,LAKE NETTIE,0.06084,sq. miles,LAKE,3F,1592.13980348
2888A,Palatlakaha River,Ocklawaha,CYPRESS LAKE,0.17615,sq. miles,LAKE,3F,3158.62781122
2889A,Palatlakaha River,Ocklawaha,BONNET LAKE,0.35882,sq. miles,LAKE,3F,6148.32304996
2743A,Orange Creek,Ocklawaha,HEWITT LAKES,0.11823,sq. miles,LAKE,3F,2359.77929626
2863A,Palatlakaha River,Ocklawaha,APSHAWA LAKE,0.09133,sq. miles,LAKE,3F,1917.03889182
2823Y,Lake Harris,Ocklawaha,EAST CROOKED LAKE,0.23905,sq. miles,LAKE,3F,4801.02472347
2839X,Palatlakaha River,Ocklawaha,LAKE WINONA,0.10544,sq. miles,LAKE,3F,3387.48062044
2768B,Rodman Reservoir,Ocklawaha,MUD LAKE,0.71748,sq. miles,LAKE,3F,5613.03209204
2771A,Rodman Reservoir,Ocklawaha,LAKE EATON,0.48897,sq. miles,LAKE,3F,8729.029928020000
2839Y,Palatlakaha River,Ocklawaha,LAKE SUSAN,0.13778,sq. miles,LAKE,3F,3891.5810409
2717,Orange Creek,Ocklawaha,KANAPAHA LAKE,0.1846,sq. miles,LAKE,3F,5066.86897503
2717A,Orange Creek,Ocklawaha,HAILE SINK,0.00271,sq. miles,LAKE,3F,222.22167095
1406B,Palatlakaha River,Ocklawaha,CRYSTAL LAKE,0.02476,sq. miles,LAKE,3F,918.37956159
2783H,Lake Griffin,Ocklawaha,BIG STEEP POND,0.03871,sq. miles,LAKE,3F,1971.19946624
2740X,Marshall Swamp,Ocklawaha,TOMAHAWK LAKE,0.06755,sq. miles,LAKE,3F,1986.99502191
2740Y,Marshall Swamp,Ocklawaha,SHOESOLE LAKE,0.03707,sq. miles,LAKE,3F,1502.27891548
2783I,Lake Griffin,Ocklawaha,LONG POND,0.13115,sq. miles,LAKE,3F,5052.58803534
2783J,Lake Griffin,Ocklawaha,WEST CLEARWATER LAKE,0.03824,sq. miles,LAKE,3F,1391.2837831
2784A,Marshall Swamp,Ocklawaha,MUD PRAIRIE LAKE,0.48146,sq. miles,LAKE,3F,9315.80828437
2785A,Marshall Swamp,Ocklawaha,SMITH LAKE,0.57302,sq. miles,LAKE,3F,8267.42714024
2715A,Rodman Reservoir,Ocklawaha,MARINER LAKE,0.17626,sq. miles,LAKE,3F,3043.93045356
2715X,Rodman Reservoir,Ocklawaha,CHIPCO LAKE,0.0646,sq. miles,LAKE,3F,1506.59624357
2715Y,Rodman Reservoir,Ocklawaha,CHURCH LAKE,0.03957,sq. miles,LAKE,3F,1019.76114093
2716A,Rodman Reservoir,Ocklawaha,TWIN LAKES WEST,0.1021,sq. miles,LAKE,3F,2820.94723369
3064A,Lake Poinsett,Upper St. Johns,FLORENCE LAKE,0.164,sq. miles,LAKE,3F,3565.11013496
2740Z,Marshall Swamp,Ocklawaha,ROUND LAKE,0.03929,sq. miles,LAKE,3F,1179.5386381
2870A,Palatlakaha River,Ocklawaha,BLACK LAKE,0.07691,sq. miles,LAKE,3F,1846.42287771
2716C,Rodman Reservoir,Ocklawaha,LAKE IDA,0.20205,sq. miles,LAKE,3F,3986.87040129
2716X,Rodman Reservoir,Ocklawaha,HARDESTY LAKE,0.07843,sq. miles,LAKE,3F,1868.01590022
2805,Lake Griffin,Ocklawaha,NORTHEAST EMERALDA MARSH CONSERVATION AREA,0.82982,sq. miles,LAKE,3F,12153.97172546
3068,Lake Poinsett,Upper St. Johns,TAYLOR CREEK RESERVOIR,4.86187,sq. miles,LAKE,3F,71267.54348503
2826A,Lake Harris,Ocklawaha,WEST CROOKED LAKE,0.17193,sq. miles,LAKE,3F,3916.95604776
3140,Blue Cypress Creek,Upper St. Johns,LAKE KENANSVILLE,2.44577,sq. miles,LAKE,3F,24704.65761389
2812A,Lake Harris,Ocklawaha,LAKE BRACY,0.10608,sq. miles,LAKE,3F,4749.19295181
2806A,Lake Harris,Ocklawaha,LAKE UMATILLA,0.26387,sq. miles,LAKE,3F,5233.92389136
2738A,Orange Creek,Ocklawaha,LOCHLOOSA LAKE,9.07782,sq. miles,LAKE,3F,25678.61810885
2998D,Wekiva River,Middle St. Johns,LAKE MARION,0.02098,sq. miles,LAKE,3F,1484.76610802
2998E,Wekiva River,Middle St. Johns,LAKE ADELAIDE,0.03574,sq. miles,LAKE,3F,1290.14099181
2998F,Wekiva River,Middle St. Johns,CRANES ROOST LAKE,0.05433,sq. miles,LAKE,3F,2037.10159324
2999A,Lake Jesup,Middle St. Johns,LAKE HAYES,0.01874,sq. miles,LAKE,3F,923.17449824
2999B,Lake Jesup,Middle St. Johns,NONAME LAKE,0.00296,sq. miles,LAKE,3F,376.33894122
2999C,Lake Jesup,Middle St. Johns,LAKE GEM (SEMINOLE COUNTY),0.0098,sq. miles,LAKE,3F,616.09965724
3019,Econlockhatchee River,Middle St. Johns,LAKE TANNER,0.08602,sq. miles,LAKE,3F,1893.02161914
2859A,Lake Harris,Ocklawaha,CHURCH LAKE,0.19269,sq. miles,LAKE,3F,3581.31307171
2817F,Lake Harris,Ocklawaha,GREEN LAKE,0.00382,sq. miles,LAKE,3F,437.47958659
2818A,Lake Griffin,Ocklawaha,LAKE IDLEWILD,0.04663,sq. miles,LAKE,3F,2832.74525132
2818B,Lake Griffin,Ocklawaha,LAKE UNITY,0.167,sq. miles,LAKE,3F,3117.8922553
3002A,Wekiva River,Middle St. Johns,HORSESHOE LAKE,0.03811,sq. miles,LAKE,3F,1485.1385966
3002A2,Wekiva River,Middle St. Johns,BLUE LAKE,0.02781,sq. miles,LAKE,3F,1086.40874351
3002B,Wekiva River,Middle St. Johns,SPRING LAKE,0.07718,sq. miles,LAKE,3F,1588.24073645
3009A,Lake Jesup,Middle St. Johns,WAUNATTA LAKE,0.10995,sq. miles,LAKE,3F,2351.64570468
2819A,Lake Harris,Ocklawaha,TROUT LAKE,0.16136,sq. miles,LAKE,3F,3422.25577319
3009B,Lake Jesup,Middle St. Johns,LAKE MARTHA,0.04816,sq. miles,LAKE,3F,1789.69368754
3009C,Lake Jesup,Middle St. Johns,LAKE BURKETT,0.1168,sq. miles,LAKE,3F,2535.02057442
3009D,Lake Jesup,Middle St. Johns,DEEP LAKE,0.06706,sq. miles,LAKE,3F,1685.81534675
2878A,Palatlakaha River,Ocklawaha,CRESCENT LAKE,0.23653,sq. miles,LAKE,3F,5878.78070047
3009E,Lake Jesup,Middle St. Johns,LAKE GEORGIA,0.12994,sq. miles,LAKE,3F,3017.14083459
3009F,Lake Jesup,Middle St. Johns,LAKE FLORENCE,0.04665,sq. miles,LAKE,3F,1459.09329403
3009H,Lake Jesup,Middle St. Johns,LAKE NAN,0.0421,sq. miles,LAKE,3F,1277.65810556
3009I,Lake Jesup,Middle St. Johns,GARDEN LAKE,0.03358,sq. miles,LAKE,3F,1151.07834254
2777A,Rodman Reservoir,Ocklawaha,CHURCH LAKE,0.06836,sq. miles,LAKE,3F,1981.02219371
3036A1,Econlockhatchee River,Middle St. Johns,LAKE BARBER,0.12477,sq. miles,LAKE,3F,2578.12305742
3036B4,Econlockhatchee River,Middle St. Johns,LAKE STILLINGER,0.00154,sq. miles,LAKE,3F,278.78716982
3036B5,Econlockhatchee River,Middle St. Johns,LAKE MONTEREY,0.0017,sq. miles,LAKE,3F,368.21097238
3036B6,Econlockhatchee River,Middle St. Johns,LAKE G,0.00842,sq. miles,LAKE,3F,575.27037972
2839G,Palatlakaha River,Ocklawaha,PALATLAKAHA LAKE,0.17008,sq. miles,LAKE,3F,2857.45745759
2839M,Palatlakaha River,Ocklawaha,LAKE LOUISA,4.94973,sq. miles,LAKE,3F,16566.32914736
2839N,Palatlakaha River,Ocklawaha,LAKE MINNEHAHA,3.6143,sq. miles,LAKE,3F,16575.8732684
3009J,Lake Jesup,Middle St. Johns,LAKE PEARL,0.10039,sq. miles,LAKE,3F,2426.99193372
3011A,Wekiva River,Middle St. Johns,LAKE WESTON,0.04845,sq. miles,LAKE,3F,2067.22775802
3036B7,Econlockhatchee River,Middle St. Johns,LAKE ROPER,0.01953,sq. miles,LAKE,3F,3727.35944308
2860A,Lake Apopka,Ocklawaha,LAKE MERRITT,0.03221,sq. miles,LAKE,3F,2170.13100156
3011B,Wekiva River,Middle St. Johns,LAKE SHADOW,0.11746,sq. miles,LAKE,3F,2338.83921079
3011C,Wekiva River,Middle St. Johns,LAKE LUCIEN,0.09018,sq. miles,LAKE,3F,2313.34351457
3011D,Wekiva River,Middle St. Johns,LAKE LOVELY,0.03333,sq. miles,LAKE,3F,1362.49636057
3011E,Wekiva River,Middle St. Johns,HARVEST LAKE,0.01683,sq. miles,LAKE,3F,754.79008436
2713A,Orange Creek,Ocklawaha,MOSS LEE LAKE,0.12906,sq. miles,LAKE,3F,3248.27709736
2839C,Palatlakaha River,Ocklawaha,LAKE WILSON,0.05196,sq. miles,LAKE,3F,1452.00122518
2839D,Palatlakaha River,Ocklawaha,LAKE CHERRY,0.66597,sq. miles,LAKE,3F,5275.40952886
2839E,Palatlakaha River,Ocklawaha,LAKE LUCY,0.66559,sq. miles,LAKE,3F,5511.43550633
2839F,Palatlakaha River,Ocklawaha,LAKE EMMA,0.2813,sq. miles,LAKE,3F,6131.009136
3003A,Econlockhatchee River,Middle St. Johns,LAKE MILLS,0.38026,sq. miles,LAKE,3F,4438.12290958
3003C,Econlockhatchee River,Middle St. Johns,LAKE CATHERINE,0.02162,sq. miles,LAKE,3F,897.40504362
3003D,Econlockhatchee River,Middle St. Johns,LAKE GORE (KIWANIS LAKE),0.05553,sq. miles,LAKE,3F,2200.96449428
3004A,Wekiva River,Middle St. Johns,BEAR LAKE,0.48554,sq. miles,LAKE,3F,5809.80115439
3004C,Wekiva River,Middle St. Johns,LAKE LAWNE,0.23002,sq. miles,LAKE,3F,4823.44395782
2837B,Lake Harris,Ocklawaha,LAKE CARLTON,0.5911,sq. miles,LAKE,3F,4728.92590164
2713B,Orange Creek,Ocklawaha,REDWATER LAKE,0.35791,sq. miles,LAKE,3F,4007.23253082
2713C,Orange Creek,Ocklawaha,HOLDENS POND,0.07674,sq. miles,LAKE,3F,2331.19508218
2713D,Orange Creek,Ocklawaha,LITTLE ORANGE LAKE,0.86739,sq. miles,LAKE,3F,8694.752146870000
3024A1,Econlockhatchee River,Middle St. Johns,LAKE ROUSE,0.05226,sq. miles,LAKE,3F,1352.51788523
3004D,Wekiva River,Middle St. Johns,SILVER LAKE,0.11127,sq. miles,LAKE,3F,2124.93043987
3004E,Wekiva River,Middle St. Johns,LAKE DANIEL,0.0115,sq. miles,LAKE,3F,626.58658332
3004F,Wekiva River,Middle St. Johns,LAKE SARAH,0.01948,sq. miles,LAKE,3F,831.3187659700000
3004G,Wekiva River,Middle St. Johns,BAY LAKE,0.05619,sq. miles,LAKE,3F,1455.71046244
3004H,Wekiva River,Middle St. Johns,LITTLE LAKE FAIRVIEW,0.13088,sq. miles,LAKE,3F,3104.0541284
3004I,Wekiva River,Middle St. Johns,LAKE ROSE,0.00988,sq. miles,LAKE,3F,638.16796958
3004J,Wekiva River,Middle St. Johns,LAKE GANDY,0.03019,sq. miles,LAKE,3F,1769.25340377
3004K,Wekiva River,Middle St. Johns,LAKE ORLANDO,0.27885,sq. miles,LAKE,3F,4950.1455955
3004L,Wekiva River,Middle St. Johns,TROUT LAKE,0.02529,sq. miles,LAKE,3F,949.21522516
2838A,Lake Harris,Ocklawaha,LAKE HARRIS,24.42374,sq. miles,LAKE,3F,56808.68964071
2838B,Lake Harris,Ocklawaha,LITTLE LAKE HARRIS,4.29182,sq. miles,LAKE,3F,17659.80459119
2838E,Lake Harris,Ocklawaha,IDAMERE LAKE,0.14851,sq. miles,LAKE,3F,2595.07740867
2838F,Lake Harris,Ocklawaha,LAKE DIXIE WEST,0.00379,sq. miles,LAKE,3F,444.97817076
2838F1,Lake Harris,Ocklawaha,LAKE DIXIE EAST,0.00479,sq. miles,LAKE,3F,443.69893252
2713E,Orange Creek,Ocklawaha,SOUTH BULL POND,0.26912,sq. miles,LAKE,3F,4518.88267356
2729A,Orange Creek,Ocklawaha,MCMEEKIN LAKE,0.15573,sq. miles,LAKE,3F,2754.25926386
2729B,Orange Creek,Ocklawaha,LITTLE MCMEEKIN LAKE,0.04141,sq. miles,LAKE,3F,1265.15224124
2862C,Palatlakaha River,Ocklawaha,GRASSY LAKE,0.24987,sq. miles,LAKE,3F,3136.47166339
2862D,Palatlakaha River,Ocklawaha,CRYSTAL LAKE,0.03405,sq. miles,LAKE,3F,1406.0728056
3004M,Wekiva River,Middle St. Johns,LAKE LOTUS,0.17239,sq. miles,LAKE,3F,3841.68059083
3004O,Wekiva River,Middle St. Johns,ASHER LAKE,0.00819,sq. miles,LAKE,3F,518.96569164
2213G,South Mainstem,Lower St. Johns,ST JOHNS RIVER ABOVE DOCTORS LAKE,12.67698,sq. miles,LAKE,3F,41364.56267896
2213H,South Mainstem,Lower St. Johns,ST JOHNS RIVER ABOVE JULINGTON CREEK,14.33927,sq. miles,LAKE,3F,50353.94013068
2213I,South Mainstem,Lower St. Johns,ST JOHNS RIVER ABOVE BLACK CREEK,19.23148,sq. miles,LAKE,3F,63023.10831127
2213J,South Mainstem,Lower St. Johns,ST JOHNS RIVER ABOVE PALMO CREEK,14.50457,sq. miles,LAKE,3F,50422.79707276
2855A,Palatlakaha River,Ocklawaha,HOWARD LAKE,0.05186,sq. miles,LAKE,3F,3406.08109965
2732A,Orange Creek,Ocklawaha,HIGGINBOTHAM LAKE,0.07927,sq. miles,LAKE,3F,1726.24817931
2732X,Orange Creek,Ocklawaha,FANNY LAKE,0.15225,sq. miles,LAKE,3F,2576.8905054
2732Y,Orange Creek,Ocklawaha,GILLIS POND,0.06722,sq. miles,LAKE,3F,1682.69646881
2735A,Orange Creek,Ocklawaha,BLUE POND,0.01738,sq. miles,LAKE,3F,941.27579444
2839A,Palatlakaha River,Ocklawaha,LAKE MINNEOLA,2.97962,sq. miles,LAKE,3F,11089.30581288
2839B,Palatlakaha River,Ocklawaha,LAKE HIAWATHA,0.07477,sq. miles,LAKE,3F,1863.30648362
3004P,Wekiva River,Middle St. Johns,CUB LAKE,0.02232,sq. miles,LAKE,3F,876.9185115500000
3004Q,Wekiva River,Middle St. Johns,LITTLE BEAR LAKE,0.04475,sq. miles,LAKE,3F,1240.77550867
3004R,Wekiva River,Middle St. Johns,LAKE FAIRHOPE,0.00162,sq. miles,LAKE,3F,269.67453232
2817E,Lake Harris,Ocklawaha,LAKE JUNIATA,0.05656,sq. miles,LAKE,3F,2286.9406238
3023B,Econlockhatchee River,Middle St. Johns,LAKE BALDWIN (CORRINE),0.30601,sq. miles,LAKE,3F,3270.93519066
2775C,Rodman Reservoir,Ocklawaha,REDWATER LAKE,0.29195,sq. miles,LAKE,3F,3287.53217825
2775D,Rodman Reservoir,Ocklawaha,LAKE LOU,0.18123,sq. miles,LAKE,3F,2615.47852429
2752A,Orange Creek,Ocklawaha,TUSCAWILLA LAKE,0.99744,sq. miles,LAKE,3F,6140.56591231
3023C,Econlockhatchee River,Middle St. Johns,LAKE SUSANNAH,0.11945,sq. miles,LAKE,3F,2058.17108593
3023D,Econlockhatchee River,Middle St. Johns,LAKE GEAR,0.01347,sq. miles,LAKE,3F,763.72753118
3023E,Econlockhatchee River,Middle St. Johns,LAKE BARTON,0.20612,sq. miles,LAKE,3F,2699.3883699
3024,Econlockhatchee River,Middle St. Johns,LAKE DOWNEY,0.028,sq. miles,LAKE,3F,966.9845994200000
2775F,Rodman Reservoir,Ocklawaha,LAKE CHARLES,0.56237,sq. miles,LAKE,3F,4538.77970217
2775G,Rodman Reservoir,Ocklawaha,JUMPER LAKE,0.51596,sq. miles,LAKE,3F,8062.06726081
2775H,Rodman Reservoir,Ocklawaha,DEER LAKE,0.1108,sq. miles,LAKE,3F,1610.92326042
2775I,Rodman Reservoir,Ocklawaha,OWENS LAKE,0.10914,sq. miles,LAKE,3F,3423.79304976
2775J,Rodman Reservoir,Ocklawaha,TOBE LAKE,0.05914,sq. miles,LAKE,3F,2334.48484667
2775K,Rodman Reservoir,Ocklawaha,KING LAKE,0.03821,sq. miles,LAKE,3F,1144.45163624
2875C,Lake Apopka,Ocklawaha,LAKE ROPER,0.05962,sq. miles,LAKE,3F,2154.47187876
2876A,Palatlakaha River,Ocklawaha,LAKE WASH,0.17675,sq. miles,LAKE,3F,4945.89188993
2753A,Rodman Reservoir,Ocklawaha,ISLAND LAKE,0.21375,sq. miles,LAKE,3F,3362.03988406
2753X,Rodman Reservoir,Ocklawaha,PEGRAM LAKE,0.09918,sq. miles,LAKE,3F,2678.48315588
2777B,Rodman Reservoir,Ocklawaha,WALDENA LAKE,0.0568,sq. miles,LAKE,3F,1858.62298654
2790A,Marshall Swamp,Ocklawaha,LAKE WEIR,8.78746,sq. miles,LAKE,3F,36548.94491415
2790B,Marshall Swamp,Ocklawaha,LITTLE LAKE WEIR,0.50968,sq. miles,LAKE,3F,7620.20793101
2791A,Lake Griffin,Ocklawaha,ISLAND LAKE,0.00735,sq. miles,LAKE,3F,512.37496665
2793A,Lake Griffin,Ocklawaha,TURKEY LAKE,0.01165,sq. miles,LAKE,3F,1655.74105558
2794A,Lake Griffin,Ocklawaha,TIGERHEAD LAKE,0.04339,sq. miles,LAKE,3F,1830.95878805
2877A,Palatlakaha River,Ocklawaha,PINE ISLAND LAKE,0.65577,sq. miles,LAKE,3F,7070.83116866
2779A,Rodman Reservoir,Ocklawaha,MILL DAM LAKE,0.52044,sq. miles,LAKE,3F,6643.01355888
2780A,Marshall Swamp,Ocklawaha,LITTLE LAKE BRYANT,0.11221,sq. miles,LAKE,3F,2717.27270934
2781A,Rodman Reservoir,Ocklawaha,HALFMOON LAKE,0.52246,sq. miles,LAKE,3F,6796.65225604
2795A,Lake Griffin,Ocklawaha,BIG BASS LAKE,0.01997,sq. miles,LAKE,3F,2504.56400962
2797A,Lake Griffin,Ocklawaha,ELLA LAKE,0.7625,sq. miles,LAKE,3F,10855.28567077
2781X,Rodman Reservoir,Ocklawaha,WELLS POND,0.22287,sq. miles,LAKE,3F,4650.21104616
2782A,Rodman Reservoir,Ocklawaha,NORTH LAKE,0.28839,sq. miles,LAKE,3F,4491.15810013
2782C,Rodman Reservoir,Ocklawaha,LAKE BRYANT,1.20934,sq. miles,LAKE,3F,11261.7483571
2816A,Lake Harris,Ocklawaha,ELDORADO LAKE,0.22402,sq. miles,LAKE,3F,3386.41604336
2816X,Lake Harris,Ocklawaha,LAKE MAY,0.0209,sq. miles,LAKE,3F,1288.51815614
2816Y,Lake Harris,Ocklawaha,LAKE SWATARA,0.11825,sq. miles,LAKE,3F,2182.96438576
3004S,Wekiva River,Middle St. Johns,LAKE HILL,0.03306,sq. miles,LAKE,3F,1305.70884909
3004T,Wekiva River,Middle St. Johns,LAKE FAIRVIEW,0.63351,sq. miles,LAKE,3F,8326.23979311
3008A,Puzzle Lake,Upper St. Johns,FOX LAKE,0.20468,sq. miles,LAKE,3F,7417.99469714
3008B,Puzzle Lake,Upper St. Johns,SOUTH LAKE,1.68338,sq. miles,LAKE,3F,11218.32266854
3009,Lake Jesup,Middle St. Johns,BEAR GULLY LAKE,0.21356,sq. miles,LAKE,3F,3780.36507133
3002,Wekiva River,Middle St. Johns,LUCY LAKE,0.111,sq. miles,LAKE,3F,1627.78662832
3002W,Wekiva River,Middle St. Johns,LAKE ALPHARETTA,0.06285,sq. miles,LAKE,3F,2771.90432221
3003,Econlockhatchee River,Middle St. Johns,LAKE PICKETT,1.19159,sq. miles,LAKE,3F,11639.61098615
2998C,Wekiva River,Middle St. Johns,LAKE ORIENTA,0.22091,sq. miles,LAKE,3F,6587.01424897
2817B,Lake Harris,Ocklawaha,LAKE EUSTIS,12.14607,sq. miles,LAKE,3F,31477.74395927
2836A,Lake Harris,Ocklawaha,LAKE ANGELINA,0.00695,sq. miles,LAKE,3F,950.52129589
2836B,Lake Harris,Ocklawaha,LAKE OLA,0.66594,sq. miles,LAKE,3F,6292.0929424
2837A,Lake Harris,Ocklawaha,LAKE JEM,0.03056,sq. miles,LAKE,3F,1010.71806901
2213K,South Mainstem,Lower St. Johns,ST JOHNS RIVER ABOVE TOCOI,16.62633,sq. miles,LAKE,3F,41673.11445893
2213L,South Mainstem,Lower St. Johns,ST JOHNS RIVER ABOVE FEDERAL POINT,10.1424,sq. miles,LAKE,3F,47806.55050571
2320B1,Tolomato River,Upper East Coast,LAKE VEDRA,0.14717,sq. miles,LAKE,3F,13833.69661756
2596A,Etonia Creek,Lower St. Johns,LAKE LOYAL,0.10288,sq. miles,LAKE,3F,2267.71646717
2576A,Etonia Creek,Lower St. Johns,BLOCKER LAKE,0.033,sq. miles,LAKE,3F,1154.62586284
2601,South Mainstem,Lower St. Johns,ROUND LAKE,0.02083,sq. miles,LAKE,3F,949.1820872
2509C,Etonia Creek,Lower St. Johns,LAKE MAGNOLIA,0.31691,sq. miles,LAKE,3F,3387.58713062
2509D,Etonia Creek,Lower St. Johns,CRYSTAL LAKE,0.44347,sq. miles,LAKE,3F,4340.7928016
2582,Etonia Creek,Lower St. Johns,LAKE SUGGS,0.13903,sq. miles,LAKE,3F,2338.2441747
2582A,Etonia Creek,Lower St. Johns,ROWAN LAKE,0.06067,sq. miles,LAKE,3F,1540.26512067
2582A1,Etonia Creek,Lower St. Johns,LAKE BARCO,0.04776,sq. miles,LAKE,3F,1310.79547782
2509E,Etonia Creek,Lower St. Johns,LAKE SWAN,0.52582,sq. miles,LAKE,3F,4893.28427717
2509F,Etonia Creek,Lower St. Johns,LITTLE KEYSTONE LAKE,0.01165,sq. miles,LAKE,3F,968.50497938
